	Uniprot ID	Uniprot Subcellular Location	Gene Ontology (Cellular Component)
248	O00391	Isoform 1|Golgi apparatus membrane|Single-pass membrane protein|Secreted|A small proportion is secreted, probably via a proteolytic cleavage that removes the membrane anchor.	endoplasmic reticulum lumen|extracellular exosome|extracellular region|extracellular space|Golgi apparatus|Golgi membrane|intercellular bridge|intracellular membrane-bounded organelle|platelet alpha granule lumen|specific granule lumen|tertiary granule lumen
249	Q9NP72	Apical cell membrane|Lipid droplet|Endoplasmic reticulum membrane	apical plasma membrane|cytosol|endomembrane system|endoplasmic reticulum membrane|endoplasmic reticulum tubular network|Golgi apparatus|lipid droplet|plasma membrane|secretory granule membrane
250	P01040	Cytoplasm	cornified envelope|cytoplasm|cytosol|extracellular space|nucleoplasm|peptidase inhibitor complex
251	P05452	Secreted	collagen-containing extracellular matrix|cytoplasm|extracellular exosome|extracellular region|extracellular space|granular component|platelet dense granule lumen
252	P38646	Mitochondrion|Nucleus|Nucleolus|Cytoplasm|Mitochondrion matrix	cytoplasm|extracellular exosome|focal adhesion|MIB complex|mitochondrial inner membrane|mitochondrial matrix|mitochondrial nucleoid|mitochondrion|nucleolus|nucleus|SAM complex|TIM23 mitochondrial import inner membrane translocase complex
253	Q9BXF6	Cytoplasm|Recycling endosome membrane|Peripheral membrane protein|Early endosome membrane|Peripheral membrane protein|Golgi apparatus membrane|Peripheral membrane protein|Cytoplasmic vesicle|Secretory vesicle membrane|Peripheral membrane protein|Mitochondrion membrane|Peripheral membrane protein	centriolar satellite|early endosome|early endosome membrane|Golgi apparatus|Golgi membrane|intracellular membrane-bounded organelle|mitochondrial outer membrane|mitochondrion|phagocytic vesicle|recycling endosome|recycling endosome membrane|secretory granule|transport vesicle membrane
254	P05089	Cytoplasm|Cytoplasmic granule|Localized in azurophil granules of neutrophils (PubMed:15546957).	azurophil granule lumen|cytoplasm|cytosol|extracellular region|extracellular space|nucleus|specific granule lumen
255	P12236	Mitochondrion inner membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein|The complex formed with ARL2BP, ARL2 and SLC25A6/ANT3 is expressed in mitochondria (By similarity). May localize to non-mitochondrial membranes (By similarity).	membrane|mitochondrial inner membrane|mitochondrion|nucleus|TIM23 mitochondrial import inner membrane translocase complex
256	P05141	Mitochondrion inner membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein|May localize to non-mitochondrial membranes.	membrane|mitochondrial inner membrane|mitochondrial nucleoid|mitochondrial permeability transition pore complex|mitochondrion|MMXD complex|nucleus|plasma membrane
257	P12235	Mitochondrion inner membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein|The complex formed with ARL2BP, ARL2 and SLC25A4/ANT1 is expressed in mitochondria (By similarity). May localize to non-mitochondrial membranes (PubMed:27641616).	membrane|mitochondrial inner membrane|mitochondrial membrane|mitochondrial permeability transition pore complex|mitochondrion|plasma membrane
258	Q9H0C2	Mitochondrion inner membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein|Cell projection|Cilium|Flagellum membrane|Multi-pass membrane protein|In sperm flagellum this protein is located in the fibrous sheath, a non-mitochondrial region (PubMed:17137571). May localize to non-mitochondrial membranes (PubMed:27641616).	membrane|mitochondrial inner membrane|mitochondrial permeability transition pore complex|mitochondrion|motile cilium|nucleus|plasma membrane
259	Q9UFE4	Cytoplasm|Cytoskeleton|Cilium axoneme|CCDC40 is required for localization to axonemes.	axoneme|cilium|cytosol|extracellular region
260	Q99623	Mitochondrion inner membrane|Cytoplasm|Nucleus|Cell membrane|Localizes within both nucleus and cytoplasm in proliferative primary myoblasts and mostly within the nucleus of differentiated primary myoblasts.	axon|cell periphery|cell surface|cytoplasm|GABA-ergic synapse|glutamatergic synapse|mitochondrial inner membrane|mitochondrial outer membrane|mitochondrial prohibitin complex|mitochondrion|nuclear matrix|nucleus|plasma membrane|postsynaptic density|presynaptic active zone|protein-containing complex
261	P16615	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein|Colocalizes with FLVCR2 at the mitochondrial-ER contact junction.	calcium ion-transporting ATPase complex|endoplasmic reticulum|endoplasmic reticulum membrane|longitudinal sarcoplasmic reticulum|membrane|plasma membrane|platelet dense tubular network membrane|ribbon synapse|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
262	Q93084	Nucleus membrane|Multi-pass membrane protein|Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein	endoplasmic reticulum|endoplasmic reticulum membrane|nuclear membrane|organelle membrane|platelet dense tubular network membrane|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
263	O14983	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein	calcium channel complex|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|H zone|I band|membrane|mitochondrion|perinuclear region of cytoplasm|platelet dense tubular network membrane|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
264	P02100	Not found Uniprot Annotation	blood microparticle|cytosol|haptoglobin-hemoglobin complex|hemoglobin complex
265	P02042	Not found Uniprot Annotation	blood microparticle|cytosol|haptoglobin-hemoglobin complex|hemoglobin complex
266	P69891	Not found Uniprot Annotation	blood microparticle|cytosol|haptoglobin-hemoglobin complex|hemoglobin complex
267	P68871	Not found Uniprot Annotation	blood microparticle|cytosol|endocytic vesicle lumen|extracellular exosome|extracellular region|extracellular space|ficolin-1-rich granule lumen|haptoglobin-hemoglobin complex|hemoglobin complex|tertiary granule lumen
268	P69892	Not found Uniprot Annotation	blood microparticle|cytosol|haptoglobin-hemoglobin complex|hemoglobin complex
269	P05090	Secreted	cytoplasm|cytosolic ribosome|dendrite|endoplasmic reticulum|extracellular exosome|extracellular region|extracellular space|neuronal cell body|perinuclear region of cytoplasm
270	Q96P63	Cytoplasm	collagen-containing extracellular matrix|cornified envelope|cytoplasm|extracellular space|ficolin-1-rich granule membrane|plasma membrane
271	P49748	Mitochondrion inner membrane|Peripheral membrane protein	mitochondrial inner membrane|mitochondrial matrix|mitochondrial membrane|mitochondrial nucleoid|mitochondrion|nucleolus|nucleoplasm
272	Q13162	Cytoplasm|Endoplasmic reticulum|Cotranslationally translocated to and retained within the endoplasmic reticulum. A small fraction of the protein is cytoplasmic.	cytosol|endoplasmic reticulum|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|nucleus|secretory granule lumen
273	Q96EK4	Nucleus|Cytoplasm|May be regulated by shuttling of the protein between the cytoplasm and nucleus.	chromatin|cytosol|nucleoplasm|TORC1 complex
274	P07477	Secreted|Extracellular space	blood microparticle|collagen-containing extracellular matrix|extracellular region|extracellular space
275	Q9BYE2	Cell membrane|Single-pass type II membrane protein|Secreted|Cytoplasm|The non-phosphorylated, inactive full length protein localizes intracellularly (PubMed:28710277). N-glycosylation and phosphorylation is required for trafficking to the cell surface (PubMed:28710277, PubMed:34562451, PubMed:35796294). Interaction with SPINT1/HAI-1 and SPINT2/HAI-2 facilitate its translocation to the cell surface (PubMed:34562451, PubMed:35796294). Proteolytic cleavage is required for secretion (PubMed:35796294).	blood microparticle|cytoplasm|membrane|plasma membrane
276	Q8WVC0	Nucleus	Cdc73/Paf1 complex|centrosome|fibrillar center|nucleoplasm|nucleus
277	P40939	Mitochondrion|Mitochondrion inner membrane|Protein stability and association with mitochondrion inner membrane do not require HADHB.	mitochondrial fatty acid beta-oxidation multienzyme complex|mitochondrial inner membrane|mitochondrial nucleoid|mitochondrion
278	Q5DT21	Secreted	extracellular region
279	Q9NQB0	Nucleus|PML body|Nucleus|Diffuse pattern. Colocalizes with SUMO1 and PIAS4 in a subset of PML (promyelocytic leukemia) nuclear bodies.	beta-catenin-TCF complex|beta-catenin-TCF7L2 complex|catenin-TCF7L2 complex|chromatin|nucleoplasm|nucleus|PML body|protein-DNA complex
280	Q6UWX4	Secreted	extracellular region
281	Q9P2E3	Mitochondrion outer membrane|Cytoplasm|Stress granule	cytoplasmic stress granule|mitochondrial outer membrane|nuclear RNA-directed RNA polymerase complex
282	Q7Z2X4	Cytoplasm	cytoplasm
283	P62805	Nucleus|Chromosome	CENP-A containing nucleosome|chromosome, telomeric region|extracellular exosome|extracellular region|membrane|nucleoplasm|nucleosome|nucleus|protein-containing complex
284	P80303	Golgi apparatus|Membrane|Peripheral membrane protein|Cytoplasm|Secreted|Endoplasmic reticulum|Nucleus envelope|Golgi retention is mediated by its N-terminal region.	cytosol|endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|extracellular exosome|extracellular space|Golgi apparatus|nuclear envelope|plasma membrane
285	Q8IV50	Not found Uniprot Annotation	
286	A6NGH7	Not found Uniprot Annotation	
287	P69905	Not found Uniprot Annotation	blood microparticle|cytosol|endocytic vesicle lumen|extracellular exosome|extracellular region|extracellular space|haptoglobin-hemoglobin complex|hemoglobin complex|membrane
288	Q15269	Nucleus|Nucleolus	nucleoplasm|Pwp2p-containing subcomplex of 90S preribosome|small-subunit processome
289	A0A0B4J2E5	Not found Uniprot Annotation	
290	Q99943	Endoplasmic reticulum membrane|Multi-pass membrane protein	endoplasmic reticulum|endoplasmic reticulum membrane|membrane
291	P11142	Cytoplasm|Melanosome|Nucleus|Nucleolus|Cell membrane|Lysosome membrane|Peripheral membrane protein|Cytoplasmic side|Localized in cytoplasmic mRNP granules containing untranslated mRNAs (PubMed:17289661). Translocates rapidly from the cytoplasm to the nuclei, and especially to the nucleoli, upon heat shock (PubMed:1586970).	autophagosome|blood microparticle|cell surface|clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane|cytoplasm|cytosol|dendritic shaft|dendritic spine|extracellular exosome|extracellular region|extracellular space|ficolin-1-rich granule lumen|focal adhesion|glutamatergic synapse|glycinergic synapse|intermediate filament|late endosome|lumenal side of lysosomal membrane|lysosomal lumen|lysosomal matrix|lysosomal membrane|melanosome|membrane|microtubule|nucleolus|nucleoplasm|nucleus|perikaryon|perinuclear region of cytoplasm|photoreceptor inner segment|photoreceptor ribbon synapse|plasma membrane|postsynaptic cytosol|postsynaptic density|postsynaptic specialization membrane|presynaptic cytosol|protein folding chaperone complex|Prp19 complex|ribonucleoprotein complex|secretory granule lumen|spliceosomal complex|synaptic vesicle|terminal bouton
292	P54652	Cytoplasm|Cytoskeleton|Spindle|Colocalizes with SHCBP1L at spindle during the meiosis process.	blood microparticle|CatSper complex|cell surface|cytoplasm|cytosol|extracellular exosome|male germ cell nucleus|meiotic spindle|membrane|nucleus|plasma membrane|synaptonemal complex
293	P38405	Not found Uniprot Annotation	cytoplasm|extracellular exosome|heterotrimeric G-protein complex|plasma membrane
294	P11021	Endoplasmic reticulum lumen|Melanosome|Cytoplasm|Cell surface|Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:12643545). Localizes to the cell surface of epithelial cells in response to high levels of free iron (PubMed:20484814, PubMed:24355926, PubMed:27159390).	cell surface|cytoplasm|cytosol|endoplasmic reticulum|endoplasmic reticulum chaperone complex|endoplasmic reticulum lumen|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|extracellular exosome|focal adhesion|intracellular membrane-bounded organelle|melanosome|membrane|midbody|mitochondrion|nucleus|plasma membrane|protein-containing complex
295	P17066	Not found Uniprot Annotation	blood microparticle|centriole|cytoplasm|cytosol|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|nucleus|plasma membrane|secretory granule lumen
296	P34931	Not found Uniprot Annotation	blood microparticle|cell body|cytoplasm|cytosol|mitochondrial matrix|nucleoplasm|nucleus|plasma membrane|vesicle|zona pellucida receptor complex
297	Q5JWF2	Cell membrane|Peripheral membrane protein|Apical cell membrane	apical plasma membrane|cytoplasm|cytosol|extracellular exosome|heterotrimeric G-protein complex|membrane
298	P06576	Mitochondrion inner membrane|Peripheral membrane protein|Matrix side	cell surface|extracellular exosome|membrane|mitochondrial inner membrane|mitochondrial matrix|mitochondrial membrane|mitochondrial nucleoid|mitochondrial proton-transporting ATP synthase complex|mitochondrial proton-transporting ATP synthase, catalytic core|mitochondrion|nucleus|plasma membrane|proton-transporting ATP synthase complex|proton-transporting ATP synthase complex, catalytic core F(1)
299	P0DMV9	Cytoplasm|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	aggresome|blood microparticle|centriole|centrosome|cytoplasm|cytosol|endoplasmic reticulum|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|focal adhesion|inclusion body|mitochondrion|nuclear speck|nucleoplasm|nucleus|perinuclear region of cytoplasm|plasma membrane|protein-containing complex|ribonucleoprotein complex|vesicle
300	P48741	Not found Uniprot Annotation	blood microparticle|cytoplasm|cytosol|extracellular exosome|nucleus|plasma membrane
301	P35998	Cytoplasm|Colocalizes with TRIM5 in cytoplasmic bodies.	cytoplasm|cytoplasmic ribonucleoprotein granule|cytosol|extracellular region|ficolin-1-rich granule lumen|membrane|nucleoplasm|nucleus|P-body|proteasome accessory complex|proteasome complex|proteasome regulatory particle, base subcomplex|secretory granule lumen
302	P25705	Mitochondrion|Mitochondrion inner membrane|Peripheral membrane protein|Matrix side|Cell membrane|Peripheral membrane protein|Extracellular side|Colocalizes with HRG on the cell surface of T-cells (PubMed:19285951).	cell surface|extracellular exosome|membrane|membrane raft|mitochondrial inner membrane|mitochondrial matrix|mitochondrial proton-transporting ATP synthase complex|mitochondrial proton-transporting ATP synthase, catalytic core|mitochondrion|plasma membrane|proton-transporting ATP synthase complex|proton-transporting ATP synthase complex, catalytic core F(1)
303	P14136	Cytoplasm|Associated with intermediate filaments.	astrocyte end-foot|cell body|cell projection|cytoplasm|cytoplasmic side of lysosomal membrane|cytosol|intermediate filament|intermediate filament cytoskeleton
304	Q02413	Cell membrane|Single-pass type I membrane protein|Cell junction|Desmosome|Cytoplasm|Nucleus	apical plasma membrane|cornified envelope|cytoplasm|cytoplasmic side of plasma membrane|cytosol|desmosome|ficolin-1-rich granule membrane|lateral plasma membrane|nucleus|plasma membrane
305	Q05639	Nucleus	cytoplasm|cytoplasmic side of lysosomal membrane|eukaryotic translation elongation factor 1 complex|synapse
306	P07900	Nucleus|Cytoplasm|Melanosome|Cell membrane|Mitochondrion|Identified by mass spectrometry in melanosome fractions from stage I to stage IV.	apical plasma membrane|axonal growth cone|basolateral plasma membrane|brush border membrane|cell surface|collagen-containing extracellular matrix|cytoplasm|cytosol|dendritic growth cone|endocytic vesicle lumen|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|lysosomal lumen|melanosome|membrane|mitochondrion|myelin sheath|neuronal cell body|nucleoplasm|nucleus|perinuclear region of cytoplasm|plasma membrane|protein-containing complex|secretory granule lumen|sperm mitochondrial sheath|sperm plasma membrane
307	P08238	Cytoplasm|Melanosome|Nucleus|Secreted|Cell membrane|Dynein axonemal particle|Cell surface|Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Translocates with BIRC2 from the nucleus to the cytoplasm during differentiation (PubMed:18239673). Secreted when associated with TGFB1 processed form (LAP) (PubMed:20599762).	aryl hydrocarbon receptor complex|axonal growth cone|cell surface|cytoplasm|cytosol|dendritic growth cone|dynein axonemal particle|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|HSP90-CDC37 chaperone complex|melanosome|membrane|mitochondrion|neuronal cell body|nucleoplasm|nucleus|perinuclear region of cytoplasm|plasma membrane|protein-containing complex|secretory granule lumen
308	Q12931	Mitochondrion|Mitochondrion inner membrane|Mitochondrion matrix	cell periphery|membrane|mitochondrial inner membrane|mitochondrial intermembrane space|mitochondrial matrix|mitochondrion|nucleoplasm
309	P68104	Cytoplasm|Nucleus|Nucleus|Nucleolus|Cell membrane|Colocalizes with DLC1 at actin-rich regions in the cell periphery (PubMed:19158340). Translocates together with ZPR1 from the cytoplasm to the nucleus and nucleolus after treatment with mitogens (PubMed:8650580). Localization at the cell membrane depends on EEF1A1 phosphorylation status and the presence of PPP1R16B (PubMed:26497934).	cortical actin cytoskeleton|cytoplasm|cytoplasmic side of lysosomal membrane|cytosol|cytosolic ribosome|eukaryotic translation elongation factor 1 complex|extracellular exosome|extracellular region|extracellular space|ficolin-1-rich granule lumen|membrane|nucleolus|nucleus|plasma membrane|ribosome|ruffle membrane|secretory granule lumen
310	P04406	Cytoplasm|Cytosol|Nucleus|Cytoplasm|Perinuclear region|Membrane|Cytoplasm|Cytoskeleton|Translocates to the nucleus following S-nitrosylation and interaction with SIAH1, which contains a nuclear localization signal (By similarity). Postnuclear and Perinuclear regions (PubMed:12829261).	cytoplasm|cytosol|extracellular exosome|GAIT complex|intracellular membrane-bounded organelle|lipid droplet|membrane|microtubule cytoskeleton|nuclear membrane|nucleus|perinuclear region of cytoplasm|plasma membrane|ribonucleoprotein complex|vesicle
311	P14923	Cell junction|Adherens junction|Cell junction|Desmosome|Cytoplasm|Cytoskeleton|Cell membrane|Peripheral membrane protein|Cytoplasm|Cell junction|Nucleus|Cytoplasmic in a soluble and membrane-associated form.	adherens junction|catenin complex|cell-cell junction|cornified envelope|cytoplasm|cytoplasmic side of plasma membrane|cytoskeleton|cytosol|desmosome|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|focal adhesion|gamma-catenin-TCF7L2 complex|intercalated disc|intermediate filament|nucleus|plasma membrane|protein-DNA complex|specific granule lumen|Z disc|zonula adherens
312	P49748	Mitochondrion inner membrane|Peripheral membrane protein	mitochondrial inner membrane|mitochondrial matrix|mitochondrial membrane|mitochondrial nucleoid|mitochondrion|nucleolus|nucleoplasm
313	Q9NZT1	Not found Uniprot Annotation	extracellular region|ficolin-1-rich granule lumen
314	P15880	Cytoplasm|Nucleus|Nucleolus|Probably localized to nucleolus and cytoplasm in complex with ZNF277.	cytoplasm|cytosol|cytosolic ribosome|cytosolic small ribosomal subunit|extracellular exosome|focal adhesion|membrane|nucleoplasm|nucleus
315	P81605	Secreted	extracellular exosome|extracellular region|membrane
316	Q5VTE0	Cytoplasm	cytoplasm|extracellular exosome|extracellular space|nucleus
317	P05067	Cell membrane|Single-pass type I membrane protein|Membrane|Single-pass type I membrane protein|Perikaryon|Cell projection|Growth cone|Membrane|Clathrin-coated pit|Early endosome|Cytoplasmic vesicle|Cell surface protein that rapidly becomes internalized via clathrin-coated pits. Only a minor proportion is present at the cell membrane; most of the protein is present in intracellular vesicles (PubMed:20580937). During maturation, the immature APP (N-glycosylated in the endoplasmic reticulum) moves to the Golgi complex where complete maturation occurs (O-glycosylated and sulfated). After alpha-secretase cleavage, soluble APP is released into the extracellular space and the C-terminal is internalized to endosomes and lysosomes. Some APP accumulates in secretory transport vesicles leaving the late Golgi compartment and returns to the cell surface. APP sorts to the basolateral surface in epithelial cells. During neuronal differentiation, the Thr-743 phosphorylated form is located mainly in growth cones, moderately in neurites and sparingly in the cell body (PubMed:10341243). Casein kinase phosphorylation can occur either at the cell surface or within a post-Golgi compartment. Associates with GPC1 in perinuclear compartments. Colocalizes with SORL1 in a vesicular pattern in cytoplasm and perinuclear regions.	apical part of cell|axon|cell surface|cell-cell junction|ciliary rootlet|clathrin-coated pit|COPII-coated ER to Golgi transport vesicle|cytoplasm|cytosol|dendrite|dendritic shaft|dendritic spine|early endosome|endoplasmic reticulum|endoplasmic reticulum lumen|endosome|endosome lumen|extracellular exosome|extracellular region|extracellular space|Golgi apparatus|Golgi lumen|Golgi-associated vesicle|growth cone|membrane|membrane raft|mitochondrial inner membrane|neuromuscular junction|nuclear envelope lumen|perikaryon|perinuclear region of cytoplasm|plasma membrane|platelet alpha granule lumen|presynaptic active zone|receptor complex|recycling endosome|smooth endoplasmic reticulum|spindle midzone|synapse|synaptic vesicle|trans-Golgi network membrane
318	Q08554	Cell membrane|Single-pass type I membrane protein|Cell junction|Desmosome	adherens junction|catenin complex|cornified envelope|desmosome|extracellular exosome|ficolin-1-rich granule membrane|gap junction|membrane|plasma membrane
319	P31944	Cytoplasm|Nucleus	cornified envelope|cytoplasm|cytosol|keratin filament|mitochondrion|nucleoplasm|nucleus
320	P61026	Cytoplasmic vesicle membrane|Lipid-anchor|Cytoplasmic side|Golgi apparatus membrane|Golgi apparatus|Trans-Golgi network membrane|Endosome membrane|Recycling endosome membrane|Cytoplasmic vesicle|Phagosome membrane|Cytoplasm|Cytoskeleton|Cilium basal body|Endoplasmic reticulum membrane|Cytoplasm|Perinuclear region|Associates with SLC2A4/GLUT4 storage vesicles (PubMed:22908308). Localizes to the base of the cilium when phosphorylated by LRRK2 on Thr-73 (PubMed:20576682, PubMed:30398148). Transiently associates with phagosomes (By similarity). Localizes to the endoplasmic reticulum at domains of new tubule growth (PubMed:23263280). Colocalizes with MICAL1, GRAF1/ARHGAP26 and GRAF2/ARHGAP10 on endosomal tubules (PubMed:32344433).	adherens junction|cilium|cytoplasmic vesicle membrane|cytoskeleton|cytosol|endoplasmic reticulum membrane|endoplasmic reticulum tubular network|endosome|endosome membrane|exocytic vesicle|extracellular exosome|focal adhesion|Golgi apparatus|Golgi membrane|insulin-responsive compartment|perinuclear region of cytoplasm|phagocytic vesicle membrane|plasma membrane|recycling endosome|recycling endosome membrane|secretory granule membrane|trans-Golgi network
321	Q05516	Nucleus|Nucleus|Nuclear body	cytosol|male germ cell nucleus|nuclear body|nuclear speck|nucleus|PML body|protein-containing complex|transcription repressor complex
322	P62820	Golgi apparatus|Endoplasmic reticulum|Early endosome|Cytoplasm|Cytosol|Membrane|Melanosome|Alternates between membrane-associated and cytosolic forms.	cytosol|early endosome|endomembrane system|endoplasmic reticulum|endosome membrane|extracellular exosome|Golgi apparatus|Golgi membrane|melanosome|plasma membrane|transport vesicle membrane
323	Q96E17	Cell membrane|Lipid-anchor|Cytoplasmic side	endosome|perinuclear region of cytoplasm|plasma membrane|synaptic vesicle|synaptic vesicle membrane|vesicle
324	P56693	Cytoplasm|Nucleus|Mitochondrion outer membrane|Peripheral membrane protein|Cytoplasmic side	chromatin|mitochondrial outer membrane|nucleoplasm|nucleus
325	O60264	Nucleus|Chromosome|Localizes to mitotic chromosomes (PubMed:12972596). Co-localizes with RSF1 in the nucleus (PubMed:12972596). Co-localizes with PCNA at replication foci during S phase (PubMed:15543136). Co-localizes with BAZ1B/WSTF at replication foci during late-S phase (PubMed:15543136). Recruited to DNA damage sites following interactiuon with SIRT6 (PubMed:23911928).	ACF complex|B-WICH complex|CHRAC|chromatin silencing complex|condensed chromosome|fibrillar center|NoRC complex|nucleolus|nucleoplasm|nucleus|NURF complex|pericentric heterochromatin|RSF complex|site of double-strand break|WICH complex
326	Q14964	Cell membrane|Lipid-anchor|Cytoplasmic side|Cytoplasmic vesicle|Phagosome|Cytoplasmic vesicle|Phagosome membrane|Lipid-anchor|Cytoplasmic side|Lysosome|Recruited to phagosomes containing S.aureus or M.tuberculosis.	cytosol|Golgi membrane|lysosome|phagocytic vesicle|phagocytic vesicle membrane|plasma membrane
327	P02768	Secreted	blood microparticle|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|extracellular exosome|extracellular region|extracellular space|Golgi apparatus|nucleus|platelet alpha granule lumen|protein-containing complex
328	P20336	Cytoplasm|Cytosol|Lysosome|Cytoplasmic vesicle|Secretory vesicle|Cell projection|Axon|Cell membrane|Lipid-anchor|Cytoplasmic side|Presynapse|Postsynapse|Cycles between a vesicle-associated GTP-bound form and a cytosolic GDP-bound form.	acrosomal vesicle|axon|clathrin-sculpted acetylcholine transport vesicle membrane|clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane|clathrin-sculpted glutamate transport vesicle membrane|clathrin-sculpted monoamine transport vesicle membrane|cytosol|endosome|extracellular vesicle|lysosome|perinuclear region of cytoplasm|plasma membrane|postsynapse|presynapse|presynaptic active zone|secretory granule membrane|synaptic vesicle|synaptic vesicle membrane|terminal bouton
329	Q86YS6	Cytoplasmic vesicle|Phagosome|Cytoplasmic vesicle|Phagosome membrane|Lipid-anchor|Cytoplasmic side|Golgi apparatus|Golgi apparatus|Trans-Golgi network membrane|Lipid-anchor|Golgi apparatus|Trans-Golgi network|Recruited to phagosomes containing S.aureus or M.tuberculosis (PubMed:21255211).	endomembrane system|extracellular exosome|Golgi apparatus|phagocytic vesicle|phagocytic vesicle membrane|trans-Golgi network membrane
330	P61106	Recycling endosome|Early endosome membrane|Lipid-anchor|Cytoplasmic side|Golgi apparatus membrane|Lipid-anchor|Cytoplasmic side|Golgi apparatus|Trans-Golgi network membrane|Lipid-anchor|Cytoplasmic side|Cytoplasmic vesicle|Phagosome|Recruited to recycling endosomes by DENND6A (PubMed:22595670). Recruited to phagosomes containing S.aureus or M.tuberculosis (PubMed:21255211).	cytosol|early endosome|early endosome membrane|endomembrane system|extracellular exosome|Golgi membrane|Golgi stack|intracellular membrane-bounded organelle|late endosome|lysosomal membrane|lysosome|nuclear outer membrane-endoplasmic reticulum membrane network|perinuclear region of cytoplasm|phagocytic vesicle|plasma membrane|recycling endosome|recycling endosome membrane|rough endoplasmic reticulum|tertiary granule membrane|trans-Golgi network|trans-Golgi network transport vesicle
331	P20337	Cell membrane|Lipid-anchor|Cytoplasmic side|Golgi apparatus|Colocalizes with GAS8/DRC4 in the Golgi apparatus.	cytoplasm|dopaminergic synapse|endosome|extracellular exosome|Golgi apparatus|perinuclear region of cytoplasm|plasma membrane|synaptic vesicle|synaptic vesicle membrane|vesicle
332	P59190	Cell membrane|Lipid-anchor|Cytoplasmic side	cilium|cytoplasm|endosome membrane|extracellular exosome|perinuclear region of cytoplasm|plasma membrane
333	P05109	Secreted|Cytoplasm|Cytoplasm|Cytoskeleton|Cell membrane|Peripheral membrane protein|Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane. Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway.	calprotectin complex|collagen-containing extracellular matrix|cytoskeleton|cytosol|extracellular exosome|extracellular region|extracellular space|intermediate filament cytoskeleton|nucleus|plasma membrane|secretory granule lumen
334	P61006	Cell membrane|Lipid-anchor|Cytoplasmic side|Golgi apparatus|Endosome membrane|Recycling endosome membrane|Cell projection|Cilium|Cytoplasmic vesicle|Phagosome|Cytoplasmic vesicle|Phagosome membrane|Lipid-anchor|Cytoplasmic side|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Centriole|Cytoplasm|Cytoskeleton|Cilium basal body|Midbody|Cytoplasm|Cytoskeleton|Cilium axoneme|Cytoplasm|Colocalizes with OPTN at the Golgi complex and in vesicular structures close to the plasma membrane (PubMed:15837803). In the GDP-bound form, present in the perinuclear region (PubMed:12221131). Shows a polarized distribution to distal regions of cell protrusions in the GTP-bound form (PubMed:12221131). Colocalizes with PARD3, PRKCI, EXOC5, OCLN, PODXL and RAB11A in apical membrane initiation sites (AMIS) during the generation of apical surface and lumenogenesis (PubMed:20890297). Localizes to tubular recycling endosome (PubMed:19864458). Recruited to phagosomes containing S.aureus or M.tuberculosis (PubMed:21255211). Non-phosphorylated RAB8A predominantly localized to the cytoplasm whereas phosphorylated RAB8A localized to the membrane (PubMed:26824392, PubMed:29125462, PubMed:30398148). Colocalized with MICAL1, GRAF1/ARHGAP26 and GRAF2/ARHGAP10 on endosomal tubules (PubMed:32344433).	centriole|centrosome|ciliary basal body|ciliary base|ciliary membrane|cilium|cytosol|dendritic spine|endosome|endosome membrane|extracellular exosome|glutamatergic synapse|Golgi membrane|midbody|neuronal cell body|non-motile cilium|phagocytic vesicle|phagocytic vesicle membrane|plasma membrane|postsynaptic density|recycling endosome membrane|synaptic vesicle|trans-Golgi network membrane|trans-Golgi network transport vesicle
